UP name,NCBI taxonomy name,Assembly ID (UP matched),Present in GFKB v3 (Y/N),Present in GFKB_epilepsy v3 (Y/N),Present in GFKB v5 (Y/N),In BiGG Models (Y/N),BiGG Model Link
Bacteroides caecimuris,Bacteroides caecimuris,GCA_001688725.2,N,Y,N,N,
Bacteroides cellulosilyticus,Bacteroides cellulosilyticus,GCA_001318345.1,Y,Y,N,N,
Bacteroides dorei,Bacteroides dorei,GCA_000738045.1,Y,Y,N,N,
Bacteroides dorei CL03T12C01,Bacteroides dorei CL03T12C01,GCA_001640865.1,N,Y,N,N,
Bacteroides fragilis,Bacteroides fragilis,GCA_000965785.1,N,Y,N,N,
Bacteroides fragilis (strain 638R),Bacteroides fragilis 638R,GCA_000210835.1,Y,Y,N,N,
Bacteroides fragilis (strain ATCC 25285 / DSM 2151 / JCM 11019 / NCTC 9343),Bacteroides fragilis NCTC 9343,GCA_000025985.1,Y,Y,N,N,
Bacteroides fragilis (strain YCH46),Bacteroides fragilis YCH46,GCA_000009925.1,Y,Y,N,N,
Bacteroides helcogenes (strain ATCC 35417 / DSM 20613 / JCM 6297 / P 36-108),Bacteroides helcogenes P 36-108,GCA_000186225.1,Y,Y,N,N,
Bacteroides heparinolyticus strain F0111,Bacteroides heparinolyticus strain F0111,GCA_002998535.1,N,N,Y,N,
Bacteroides ovatus (strain ATCC 8483 / DSM 1896 / JCM 5824 / NCTC 11153),Bacteroides ovatus,GCA_000154125.1,Y,Y,N,N,
Bacteroides ovatus V975,Bacteroides ovatus V975,GCA_900095495,N,Y,N,N,
Bacteroides salanitronis (strain DSM 18170 / JCM 13567 / BL78),Bacteroides salanitronis DSM 18170,GCA_000190575.1,Y,Y,N,N,
Bacteroides sp CAG:98,Bacteroides dorei,GCA_000438395.1,Y,Y,N,N,
Bacteroides sp. A1C1,Bacteroides sp. A1C1,GCA_004328515.1,N,N,Y,N,
Bacteroides thetaiotaomicron (strain ATCC 29148 / DSM 2079 / NCTC 10582 / E50 / VPI-5482),Bacteroides thetaiotaomicron VPI-5482,GCA_000011065.1,Y,Y,N,N,
Bacteroides thetaiotaomicron 7330,Bacteroides thetaiotaomicron,GCA_001314975.1,N,Y,N,N,
Bacteroides vulgatus (strain ATCC 8482 / DSM 1447 / JCM 5826 / NBRC 14291 / NCTC 11154),Bacteroides vulgatus ATCC 8482,GCA_000012825.1,Y,Y,N,N,
Bacteroides vulgatus mpk,Bacteroides vulgatus,GCA_001412315.1,N,Y,N,N,
Bacteroides xylanisolvens XB1A,Bacteroides xylanisolvens XB1A,GCA_000210075.1,Y,Y,N,N,
Bacteroides zoogleoformans strain ATCC 33285,Bacteroides zoogleoformans strain ATCC 33285,GCA_007830715.1,N,N,Y,N,
Barnesiella viscericola DSM 18177,Barnesiella viscericola DSM 18177,GCA_000512915.1,Y,Y,N,N,
Bifidobacterium adolescentis,Bifidobacterium adolescentis,GCA_000737885.1,Y,Y,N,N,
Bifidobacterium adolescentis (strain ATCC 15703 / DSM 20083 / NCTC 11814 / E194a),Bifidobacterium adolescentis ATCC 15703,GCA_000010425.1,Y,Y,N,N,
Bifidobacterium adolescentis 1-11,Bifidobacterium adolescentis 1-11,GCA_003030905.1,N,Y,N,N,
Bifidobacterium animalis subsp lactis (strain BB-12),Bifidobacterium animalis subsp. lactis,GCA_000025245.1,Y,Y,N,N,
Bifidobacterium bifidum,Bifidobacterium bifidum,GCA_001281345.1,Y,Y,N,N,
Bifidobacterium bifidum (strain PRL2010),Bifidobacterium bifidum PRL2010,GCA_000165905.1,Y,Y,N,N,
Bifidobacterium bifidum (strain S17),Bifidobacterium bifidum S17,GCA_000164965.1,Y,Y,N,N,
Bifidobacterium bifidum BGN4,Bifidobacterium bifidum BGN4,GCA_000265095.1,Y,Y,N,N,
Bifidobacterium breve,Bifidobacterium breve 689b,GCA_002838565.1,Y,Y,N,N,
Bifidobacterium breve JCM 7019,Bifidobacterium breve JCM 7019,GCA_000569015.1,Y,Y,N,N,
Bifidobacterium dentium ATCC 27679,Bifidobacterium dentium JCM 1195 = DSM 20436,GCA_000146775.1,Y,Y,N,N,
Bifidobacterium kashiwanohense JCM 15439 = DSM 21854,Bifidobacterium kashiwanohense JCM 15439 = DSM 21854,GCA_000741605.1,Y,Y,N,N,
Bifidobacterium kashiwanohense PV20-2,Bifidobacterium kashiwanohense PV20-2,GCA_000800455.1,Y,Y,N,N,
Bifidobacterium longum,Bifidobacterium longum subsp. longum,GCA_002833265.1,Y,Y,N,N,
Bifidobacterium longum,Bifidobacterium longum subsp. longum BBMN68,GCA_002832945.1,Y,Y,N,N,
Bifidobacterium longum,Bifidobacterium longum,GCA_000829295.1,Y,Y,N,N,
Bifidobacterium longum (strain DJO10A),Bifidobacterium longum DJO10A,GCA_000008945.1,Y,Y,N,N,
Bifidobacterium longum (strain NCC 2705),Bifidobacterium longum NCC2705,GCA_000007525.1,N,Y,N,N,
Bifidobacterium longum (strain NCC 2705),Bifidobacterium longum subsp. infantis,GCA_000007525.1,Y,Y,N,N,
Bifidobacterium longum subsp infantis (strain 157F),Bifidobacterium longum subsp. infantis 157F,GCA_000196575.1,Y,Y,N,N,
Bifidobacterium longum subsp infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12),Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088,GCA_000020425.1,Y,Y,N,N,
Bifidobacterium longum subsp longum (strain ATCC 15707 / DSM 20219 / JCM 1217 / NCTC 11818 / E194b),Bifidobacterium longum subsp. longum JCM 1217,GCA_000196555.1,Y,Y,N,N,
Bifidobacterium longum subsp longum (strain JDM301),Bifidobacterium longum subsp. longum JDM301,GCA_000092325.1,Y,Y,N,N,
Bifidobacterium longum subsp longum F8,Bifidobacterium longum subsp. longum F8,GCA_000210755.1,Y,Y,N,N,
Bifidobacterium longum subsp longum GT15,Bifidobacterium longum subsp. longum GT15,GCA_000772485.1,Y,Y,N,N,
Bifidobacterium longum subsp longum KACC 91563,Bifidobacterium longum subsp. longum KACC 91563,GCA_000219455.1,Y,Y,N,N,
Bifidobacterium longum subsp. infantis (strain ATCC 15697 / DSM 20088 / JCM 1222 / NCTC 11817 / S12),Bifidobacterium longum subsp. infantis ATCC 15697 = JCM 1222 = DSM 20088,GCA_000020425.1,N,Y,N,N,
Bifidobacterium thermophilum RBL67,Bifidobacterium thermophilum RBL67,GCA_000347695.1,Y,Y,N,N,
Blautia argi strain KCTC 15426,Blautia argi strain KCTC 15426,GCA_003287895.1,N,N,Y,N,
Blautia hansenii DSM 20583,Blautia hansenii DSM 20583,GCA_002222595.2,N,Y,N,N,
Blautia obeum A2-162,Blautia obeum A2-162,GCA_000210015.1,Y,Y,N,N,
Blautia sp. SC05B48,Blautia sp. SC05B48,GCA_005848555.1,N,N,Y,N,
Burkholderiales bacterium YL45,Burkholderiales bacterium YL45,GCA_001688905.2,N,N,Y,N,
Campylobacter coli,Campylobacter coli RM5611,GCA_001483845.1,Y,Y,N,N,
Campylobacter hominis (strain ATCC BAA-381 / LMG 19568 / NCTC 13146 / CH001A),Campylobacter hominis ATCC BAA-381,GCA_000017585.1,Y,Y,N,N,
Campylobacter jejuni subsp jejuni,Campylobacter jejuni subsp. jejuni ICDCCJ07001,GCA_001299595.1,Y,Y,N,N,
Campylobacter jejuni subsp jejuni serotype O:2 (strain ATCC 700819 / NCTC 11168),Campylobacter jejuni subsp. jejuni CG8421,GCA_000009085.1,Y,Y,N,N,
Citrobacter freundii CFNIH1,Citrobacter freundii CFNIH1,GCA_000648515.1,Y,Y,N,N,
Clostridioides difficile (Peptoclostridium difficile),Clostridioides difficile,GCA_900164675.1,Y,Y,N,N,
Clostridioides difficile NAP08,Clostridioides difficile M120,GCA_000164175.1,Y,Y,N,N,
Clostridium bolteae (strain ATCC BAA-613 / WAL 16351),Clostridium bolteae,GCA_002234575.2,N,Y,N,N,
Clostridium botulinum,Clostridium botulinum,GCA_001276965.1,Y,Y,N,N,
Clostridium cf saccharolyticum K10,Clostridium cf. saccharolyticum K10,GCA_000210535.1,Y,Y,N,N,
Clostridium saccharolyticum (strain ATCC 35040 / DSM 2544 / NRCC 2533 / WM1),Clostridium saccharolyticum WM1,GCA_000144625.1,Y,Y,N,N,
Collinsella aerofaciens (Strain: indica),Collinsella aerofaciens,GCA_002736145.1,N,Y,N,N,
Coprococcus catus GD/7,Coprococcus catus GD/7,GCA_000210555.1,Y,Y,N,N,
Coprococcus sp ART55/1,Coprococcus sp. ART55/1,GCA_000210595.1,Y,Y,N,N,
Duncaniella muris strain DSM 103720,Duncaniella muris strain DSM 103720,GCA_003024805.1,N,N,Y,N,
Dysosmobacter welbionis strain J115,Dysosmobacter welbionis strain J115,GCA_005121165.3,N,N,Y,N,
Eggerthella lenta (strain ATCC 25559 / DSM 2243 / JCM 9979 / NCTC 11813 / VPI 0255) (Eubacterium lentum),,GCA_002148255.1,N,Y,N,N,
Eggerthella lenta (strain ATCC 25559 / DSM 2243 / JCM 9979 / NCTC 11813 / VPI 0255) (Eubacterium lentum),Eggerthella lenta DSM 2243,GCA_000024265.1,Y,Y,N,N,
Eggerthella sp (strain YY7918),Eggerthella sp. YY7918,GCA_000270285.1,Y,Y,N,N,
Enterobacter cloacae complex sp. strain Ek3147,Enterobacter cloacae complex sp. strain Ek3147,GCA_003225955.1,N,N,Y,N,
Enterobacter cloacae subsp. cloacae (strain ATCC 13047 / DSM 30054 / NBRC 13535 / NCTC 10005 / WDCM 00083 / NCDC 279-56),Enterobacter cloacae subsp. cloacae ATCC 13047,GCA_000025565.1,N,N,Y,N,
Enterobacter hormaechei ATCC 49162,Enterobacter hormaechei ATCC 49162,GCA_000213995.1,N,N,Y,N,
"Enterobacter hormaechei strain 
e1424","Enterobacter hormaechei strain 
e1424",GCA_900075715.1,N,N,Y,N,
"Enterobacter roggenkampii strain
RHBSTW-00309",Enterobacter roggenkampii strain RHBSTW-00309,GCA_013742615.1,N,N,Y,N,
Enterobacteriaceae bacterium 9_2_54FAA,Enterobacteriaceae bacterium 9_2_54FAA,GCA_000185685.2,N,N,Y,N,
Enterococcus faecalis (Streptococcus faecalis),Enterococcus faecalis,GCA_003966385.1,N,Y,N,N,
Enterococcus faecium (Streptococcus faecium),Enterococcus faecium Aus0085,GCA_900080095.1,Y,Y,N,N,
Enterococcus faecium (Streptococcus faecium),Enterococcus faecium Aus0004,GCA_002025045.1,Y,Y,N,N,
Enterococcus faecium T110,Enterococcus faecium T110,GCA_000737555.1,Y,Y,N,N,
Enterococcus hirae (strain ATCC 9790 / DSM 20160 / JCM 8729 / LMG 6399 / NBRC 3181 / NCIMB 6459 / NCDO 1258),Enterococcus hirae ATCC 9790,GCA_000271405.2,Y,Y,N,N,
Erysipelotrichaceae bacterium I46,Erysipelotrichaceae bacterium I46,GCA_001688965.2,N,Y,N,N,
Escherichia coli,Escherichia coli,GCA_000784925.1,Y,Y,N,N,
Escherichia coli (strain B / BL21-DE3),Escherichia coli,GCA_000023665.1,Y,Y,N,Y,http://bigg.ucsd.edu/models/iEC1356_Bl21DE3
Escherichia coli (strain SE11),Escherichia coli SE11,GCA_000010385.1,N,N,Y,Y,http://bigg.ucsd.edu/models/iECSE_1348
Escherichia coli (strain SMS-3-5 / SECEC),Escherichia coli SMS-3-5,GCA_000019645.1,Y,Y,N,Y,http://bigg.ucsd.edu/models/iEcSMS35_1347
Escherichia coli (strain UTI89 / UPEC),Escherichia coli UTI89,GCA_000013265.1,Y,Y,N,Y,http://bigg.ucsd.edu/models/iUTI89_1310
Escherichia coli 1303,Escherichia coli 1303,GCA_000829985.1,Y,Y,N,N,
Escherichia coli H386,Escherichia coli P12b,GCA_002110545.1,Y,Y,N,N,
Escherichia coli O104:H4 (strain 2011C-3493),Escherichia coli O104:H4 str. 2009EL-2050,GCA_000299455.1,Y,Y,N,N,
Escherichia coli O17:K52:H18 (strain UMN026 / ExPEC),Escherichia coli,GCA_000026325.2,Y,Y,N,Y,http://bigg.ucsd.edu/models/iECUMN_1333
Escherichia coli O25b:H4-ST131,Escherichia coli SE15,GCA_000285655.3,Y,Y,N,Y,http://bigg.ucsd.edu/models/iECSF_1327
Escherichia coli O6:H1 (strain CFT073 / ATCC 700928 / UPEC),Escherichia coli CFT073,GCA_000007445.1,Y,Y,N,Y,http://bigg.ucsd.edu/models/ic_1306
Escherichia coli O78:H11 (strain H10407 / ETEC),Escherichia coli,GCA_000210475.1,Y,Y,N,Y,http://bigg.ucsd.edu/models/iETEC_1333
Escherichia coli O7:K1,Escherichia coli IAI39,GCA_000026345.1,N,N,Y,Y,http://bigg.ucsd.edu/models/iECIAI39_1322
Escherichia coli O83:H1 (strain NRG 857C / AIEC),Escherichia coli LF82,GCA_000183345.1,Y,Y,N,Y,http://bigg.ucsd.edu/models/iNRG857_1313
Escherichia coli UMNK88,Escherichia coli UMNK88,GCA_000212715.2,Y,Y,N,Y,http://bigg.ucsd.edu/models/iUMNK88_1353
Ethanoligenens harbinense (strain DSM 18485 / JCM 12961 / CGMCC 15033 / YUAN-3),Ethanoligenens harbinense YUAN-3,GCA_000178115.2,Y,Y,N,N,
Eubacterium eligens (strain ATCC 27750 / VPI C15-48),Eubacterium eligens ATCC 27750,GCA_000146185.1,Y,Y,N,N,
Eubacterium limosum (strain KIST612),Eubacterium limosum KIST612,GCA_000152245.2,Y,Y,N,N,
Eubacterium rectale DSM 17629,Eubacterium rectale DSM 17629,GCA_000209935.1,Y,Y,N,N,
Eubacterium rectale M104/1,Eubacterium rectale M104/1,GCA_000209955.1,Y,Y,N,N,
Eubacterium siraeum 70/3,Eubacterium siraeum 70/3,GCA_000209915.1,Y,Y,N,N,
Eubacterium siraeum V10Sc8a,Eubacterium siraeum V10Sc8a,GCA_000210635.1,Y,Y,N,N,
Faecalibacterium prausnitzii,Faecalibacterium prausnitzii,GCA_002586945.1,N,Y,N,N,
Faecalibacterium prausnitzii L2-6,Faecalibacterium prausnitzii L2-6,GCA_000210735.1,Y,Y,N,N,
Faecalibacterium prausnitzii SL3/3,Faecalibacterium prausnitzii SL3/3,GCA_000209855.1,Y,Y,N,N,
Faecalibacterium prausnitzii strain 2789STDY5608869,Faecalibacterium prausnitzii strain 2789STDY5608869,GCA_001406355.1,N,N,Y,N,
Faecalitalea cylindroides T2-87,Faecalitalea cylindroides T2-87,GCA_000210615.1,Y,Y,N,N,
Fermentimonas caenicola,Fermentimonas caenicola,GCA_000953535.1,Y,Y,N,N,
Flavonifractor plautii YL31,Flavonifractor plautii strain YL31,GCA_001688625.2,N,Y,N,N,
Fusobacterium mortiferum ATCC 9817,Fusobacterium mortiferum ATCC 9817,GCA_000158195.2,N,N,Y,N,
Fusobacterium ulcerans strain ATCC 49185,Fusobacterium ulcerans strain ATCC 49185,GCA_003019675.1,N,N,Y,N,
Fusobacterium varium ATCC 27725,Fusobacterium varium ATCC 27725,GCA_000159915.2,N,N,Y,N,
Gardnerella vaginalis (strain 409-05),Gardnerella vaginalis 409-05,GCA_000025205.1,Y,Y,N,N,
Gordonibacter pamelaeae 7-10-1-b,Gordonibacter pamelaeae 7-10-1-b,GCA_000210055.1,Y,Y,N,N,
Haemophilus parainfluenzae (strain T3T1),Haemophilus parainfluenzae T3T1,GCA_000210895.1,Y,Y,N,N,
Intestinimonas butyriciproducens,Intestinimonas butyriciproducens,GCA_001454945.1,Y,Y,N,N,
Klebsiella aerogenes (Enterobacter aerogenes),Klebsiella aerogenes EA1509E,GCA_001662705.1,Y,Y,N,N,
Klebsiella aerogenes (strain ATCC 13048 / DSM 30053 / JCM 1235 / KCTC 2190 / NBRC 13534 / NCIMB 10102 / NCTC 10006) (Enterobacter aerogenes),Klebsiella aerogenes KCTC 2190,GCA_000215745.1,Y,Y,N,N,
Klebsiella oxytoca (strain ATCC 8724 / DSM 4798 / JCM 20051 / NBRC 3318 / NRRL B-199 / KCTC 1686),Klebsiella michiganensis HKOPL1,GCA_000240325.1,Y,Y,N,N,
Klebsiella pneumoniae,Klebsiella pneumoniae subsp. pneumoniae,GCA_000764615.1,Y,Y,N,N,
Klebsiella pneumoniae subsp. pneumoniae (strain ATCC 700721 / MGH 78578),Klebsiella pneumoniae subsp. pneumoniae MGH 78578,GCA_000016305.1,N,N,Y,Y,http://bigg.ucsd.edu/models/iYL1228
Klebsiella quasipneumoniae strain 3189STDY6864255,Klebsiella quasipneumoniae strain 3189STDY6864255,GCA_900474505.1,N,N,Y,N,
Klebsiella sp. LY,Klebsiella sp. LY,GCA_004010915.1,N,N,Y,N,
Klebsiella variicola,Klebsiella variicola At-22,GCA_000826565.1,Y,Y,N,N,
Lachnoclostridium phytofermentans (strain ATCC 700394 / DSM 18823 / ISDg) (Clostridium phytofermentans),Lachnoclostridium phytofermentans ISDg,GCA_000018685.1,Y,Y,N,N,
Lactobacillus acidophilus (strain ATCC 700396 / NCK56 / N2 / NCFM),Lactobacillus acidophilus La-14,GCA_000011985.1,Y,Y,N,N,
Lactobacillus paracasei subsp paracasei JCM 8130,Lactobacillus paracasei subsp. paracasei JCM 8130,GCA_000829035.1,Y,Y,N,N,
Lactobacillus rhamnosus LMS2-1,Lactobacillus rhamnosus ATCC 8530,GCA_000160175.1,Y,Y,N,N,
Lactobacillus ruminis (strain ATCC 27782 / RF3),Lactobacillus ruminis ATCC 27782,GCA_000224985.1,Y,Y,N,N,
Lactococcus lactis subsp lactis KLDS 4.0325,Lactococcus lactis subsp. lactis KLDS 4.0325,GCA_000479375.2,Y,Y,N,Y!,http://bigg.ucsd.edu/models/iNF517
Leuconostoc citreum (strain KM20),Leuconostoc citreum KM20,GCA_000026405.1,Y,Y,N,N,
Mageeibacillus indolicus (strain UPII9-5) (Clostridiales genomosp BVAB3 (strain UPII9-5)),Mageeibacillus indolicus UPII9-5,GCA_000025225.2,Y,Y,N,N,
Megamonas sp Calf98-2,Megamonas hypermegale ART12/1,GCA_900110235.1,Y,Y,N,N,
Megasphaera elsdenii DSM 2046,Megasphaera elsdenii DSM 20460,GCA_000283495.2,N,N,Y,N,
Methanobrevibacter smithii (strain ATCC 35061 / DSM 861 / OCM 144 / PS),Methanobrevibacter smithii ATCC 35061,GCA_000016525.1,Y,Y,N,N,
Methanobrevibacter smithii KB11,Methanobrevibacter smithii,GCA_002813085.1,N,Y,N,N,
Methanomassiliicoccus intestinalis (strain Issoire-Mx1),Candidatus Methanomassiliicoccus intestinalis Issoire-Mx1,GCA_000404225.1,Y,Y,N,N,
Odoribacter splanchnicus (strain ATCC 29572 / DSM 20712 / CIP 104287 / JCM 15291 / NCTC 10825 / 1651/6) (Bacteroides splanchnicus),Odoribacter splanchnicus DSM 20712,GCA_000190535.1,Y,Y,N,N,
Ornithobacterium rhinotracheale (strain ATCC 51463 / DSM 15997 / CCUG 23171 / CIP 104009 / LMG 9086),Ornithobacterium rhinotracheale ORT-UMN 88,GCA_000265465.1,Y,Y,N,N,
Oscillibacter sp. PC13,Oscillibacter sp. PC13,GCA_900115635.1,N,N,Y,N,
Oscillibacter valericigenes (strain DSM 18026 / NBRC 101213 / Sjm18-20),Oscillibacter valericigenes Sjm18-20,GCA_000283575.1,Y,Y,N,N,
Oxalobacter formigenes OXCC13,Oxalobacter formigenes OXCC13,GCA_000158495.1,N,N,Y,N,
Paenibacillus sabinae T27,Paenibacillus sabinae T27,GCA_000612505.1,Y,Y,N,N,
Paeniclostridium sordellii (Clostridium sordellii),Paeniclostridium sordellii,GCA_000953555.1,Y,Y,N,N,
Parabacteroides distasonis (strain ATCC 8503 / DSM 20701 / CIP 104284 / JCM 5825 / NCTC 11152),Parabacteroides distasonis ATCC 8503,GCA_000012845.1,Y,Y,N,N,
Parabacteroides sp. CT06,Parabacteroides sp. CT06,GCA_002257605.1,N,Y,N,N,
Parvimonas micra,Parvimonas micra,GCA_000800295.1,Y,Y,N,N,
Peptoclostridium difficile (strain 630),Clostridioides difficile 630,GCA_000009205.2,Y,N,N,Y,http://bigg.ucsd.edu/models/iCN900
Peptoclostridium difficile (strain 630) (Clostridium difficile),Clostridioides difficile BJ08,GCA_000009205.2,Y,Y,N,N,
Peptoclostridium difficile (strain R20291) (Clostridium difficile),Clostridioides difficile R20291,GCA_000027105.1,Y,Y,N,N,
Porphyromonas asaccharolytica (strain ATCC 25260 / DSM 20707 / BCRC 10618 / JCM 6326 / LMG 13178 / VPI 4198) (Bacteroides asaccharolyticus),Porphyromonas asaccharolytica DSM 20707,GCA_000212375.1,Y,Y,N,N,
Porphyromonas gingivalis (strain ATCC 33277 / DSM 20709 / CIP 103683 / JCM 12257 / NCTC 11834 / 2561),Porphyromonas gingivalis ATCC 33277,GCA_000010505.1,Y,Y,N,N,
Prevotella dentalis (strain ATCC 49559 / DSM 3688 / JCM 13448 / NCTC 12043 / ES 2772) (Mitsuokella dentalis),Prevotella dentalis DSM 3688,GCA_000242335.3,Y,Y,N,N,
Prevotella denticola (strain F0289),Prevotella denticola F0289,GCA_000193395.1,Y,Y,N,N,
Prevotella enoeca strain F0113,Prevotella enoeca strain F0113,GCA_001444445.1,N,N,Y,N,
Prevotella intermedia,Prevotella intermedia,GCA_002355195.1,Y,Y,N,N,
Prevotella intermedia (strain 17),Prevotella intermedia 17,GCA_000261025.1,Y,Y,N,N,
Prevotella intermedia ATCC 25611 = DSM 20706,Prevotella intermedia ATCC 25611 = DSM 20706,GCA_001953955.1,N,N,Y,N,
Prevotella melaninogenica (strain ATCC 25845 / DSM 7089 / JCM 6325 / VPI 2381 / B282) (Bacteroides melaninogenicus),Prevotella melaninogenica ATCC 25845,GCA_000144405.1,Y,Y,N,N,
Prevotella ruminicola (strain ATCC 19189 / JCM 8958 / 23),Prevotella ruminicola 23,GCA_000025925.1,Y,Y,N,N,
Prevotella sp oral taxon 299 str. F0039,Prevotella sp. oral taxon 299 str. F0039,GCA_000163055.2,Y,Y,N,N,
Propionibacterium acnes J139,Cutibacterium acnes subsp. defendens ATCC 11828,GCA_000177395.1,Y,Y,N,N,
Pseudomonas tolaasii,Pseudomonas tolaasii,GCA_002072675.1,N,Y,N,N,
Raoultella ornithinolytica (Klebsiella ornithinolytica),Raoultella ornithinolytica B6,GCA_002215315.1,Y,Y,N,N,
Roseburia hominis (strain DSM 16839 / NCIMB 14029 / A2-183),Roseburia hominis A2-183,GCA_000225345.1,Y,Y,N,N,
Roseburia intestinalis M50/1,Roseburia intestinalis M50/1,GCA_000209995.1,Y,Y,N,N,
Roseburia intestinalis XB6B4,Roseburia intestinalis XB6B4,GCA_000210655.1,Y,Y,N,N,
Rubinisphaera brasiliensis (strain ATCC 49424 / DSM 5305 / JCM 21570 / NBRC 103401 / IFAM 1448) (Planctomyces brasiliensis),Rubinisphaera brasiliensis DSM 5305,GCA_000165715.3,Y,Y,N,N,
Ruminococcaceae bacterium D16,Ruminococcaceae bacterium D16,GCA_000177015.3,N,N,Y,N,
Ruminococcus bicirculans,Ruminococcus bicirculans,GCA_000723465.1,Y,Y,N,N,
Ruminococcus bromii,,GCA_900101355.1,Y,Y,N,N,
Ruminococcus champanellensis (strain DSM 18848 / JCM 17042 / KCTC 15320 / 18P13),Ruminococcus champanellensis 18P13 = JCM 17042,GCA_000210095.1,Y,Y,N,N,
Ruminococcus sp SR1/5,Ruminococcus sp. SR1/5,GCA_000209835.1,Y,Y,N,N,
Ruminococcus torques L2-14,Ruminococcus torques L2-14,GCA_000210035.1,Y,Y,N,N,
Shigella dysenteriae serotype 1 (strain Sd197),Shigella dysenteriae Sd197,GCA_000012005.1,N,N,Y,Y,http://bigg.ucsd.edu/models/iSDY_1059
Sphingobacterium faecium PCAi_F25,Sphingobacterium sp. PM2-P1-29,GCA_900163855.1,Y,Y,N,N,
"Streptococcus constellatus strain 
FDAARGOS_1208","Streptococcus constellatus strain 
FDAARGOS_1208",GCA_016889885.1,N,N,Y,N,
Streptococcus equinus (Streptococcus bovis) strain CNU 77-23,Streptococcus equinus (Streptococcus bovis) strain CNU 77-23,GCA_009758075.1,N,N,Y,N,
Streptococcus infantarius strain NCTC13760,Streptococcus infantarius strain NCTC13760,GCA_900459445.1,N,N,Y,N,
Streptococcus mitis (strain B6),Streptococcus mitis B6,GCA_000027165.1,Y,Y,N,N,
Streptococcus mitis strain SVG_061,Streptococcus mitis strain SVG_061,GCA_001560895.1,N,N,Y,N,
Streptococcus parasanguinis (strain ATCC 15912 / DSM 6778 / CIP 104372 / LMG 14537),Streptococcus parasanguinis ATCC 15912,GCA_000164675.2,Y,Y,N,N,
Streptococcus parasanguinis FW213,Streptococcus parasanguinis FW213,GCA_000262145.1,Y,Y,N,N,
Streptococcus pasteurianus (strain ATCC 43144 / JCM 5346 / CDC 1723-81),Streptococcus pasteurianus ATCC 43144,GCA_000270165.1,Y,Y,N,N,
Streptococcus salivarius,Streptococcus salivarius,GCA_000785515.1,Y,Y,N,N,
Streptococcus salivarius,Streptococcus salivarius JIM8777,GCA_002860785.1,Y,Y,N,N,
Streptococcus salivarius (strain 57I),Streptococcus salivarius 57.I,GCA_000305335.2,Y,Y,N,N,
Streptococcus salivarius (strain CCHSS3),Streptococcus salivarius CCHSS3,GCA_000253335.1,Y,Y,N,N,
Streptococcus salivarius strain AF24-6AC,Streptococcus salivarius strain AF24-6AC,GCA_003458505.1,N,N,Y,N,
Streptococcus sp I-P16,Streptococcus sp. I-P16,GCA_000479315.1,Y,Y,N,N,
